kata,primary_pos,all_pos
unyil,Adjektiva,Adjektiva;Cakapan;kiasan
datin,Nomina,Nomina
datuk,Nomina,Nomina;Minangkabau
datu,Nomina,Nomina;Sastra
barat,Nomina,Nomina
puyu,Verba,Verba;Minangkabau
malas,Adjektiva,Adjektiva
fusilier,Nomina,Nomina
gapuran,Nomina,Nomina
kapuran,Nomina,Nomina
kanja,Nomina,Nomina
siakap,Nomina,Nomina
jangian,Nomina,Nomina
jambrung,Nomina,Nomina
jambron,Nomina,Nomina
janjan,Nomina,Nomina
koan,Nomina,Nomina
potong-potong,Nomina,Nomina
bobara,Nomina,Nomina
bagat,Nomina,Nomina
kali,Nomina,Nomina
tegap,Adjektiva,Adjektiva;kiasan
sahi,Adjektiva,Adjektiva;Arkais
selara,Nomina,Nomina;Minangkabau
ensepat,Nomina,Nomina
engkribang,Nomina,Nomina
tengalan,Nomina,Nomina
gantarang,Nomina,Nomina
bupati,Nomina,Nomina
celapak,Verba,Verba
berdebum,Verba,Verba
terselempang,Verba,Verba
tersembam,Verba,Verba
tercelapak,Verba,Verba
tertelungkup,Verba,Verba
pasif,Adjektiva,Adjektiva;Ekonomi dan Keuangan
sepala-pala,Adverbia,Adverbia
balut,Adjektiva,Adjektiva
perahap,Nomina,Nomina
rahap,Verba,Verba
tik,Nomina,Nomina;singkatan
bertumpu,Verba,Verba
mempertaruhkan,Verba,Verba
perwakilan,Nomina,Nomina
semayang,Nomina,Nomina
ya,Partikel,Partikel
mukadimah,Nomina,Nomina
keluarga,Nomina,Nomina;Komputer
singkur,Nomina,Nomina
ketewasan,Nomina,Nomina
oleh,Partikel,Partikel
malaise,Nomina,Nomina
dispareunia,Adjektiva,Adjektiva;Kedokteran dan Fisiologi
candak cekel kulak,Jawa,Jawa
rungkuh,Adjektiva,Adjektiva
calon pembeli utama,Manajemen,Manajemen
berhamburan,Verba,Verba
jemputan,Nomina,Nomina
pendua,Nomina,Nomina
konsesif,Adjektiva,Adjektiva;Linguistik
tingting,Nomina,Nomina
melantas,Verba,Verba
inslan,Verba,Verba;Olahraga
si,Partikel,Partikel;Cakapan
balap,Nomina,Nomina
ventilasi,Nomina,Nomina
lecet,Adjektiva,Adjektiva
patgulipat,Nomina,Nomina
surut,Adjektiva,Adjektiva
sturm und drang,Ungkapan,Ungkapan;Jerman
alimiah,Nomina,Nomina
tetek,Nomina,Nomina
versus,Partikel,Partikel
terlarut,Verba,Verba
menadah,Verba,Verba
menciar-ciar,Verba,Verba
mendetail,Nomina,Nomina
miskram,Verba,Verba;Cakapan
multibahasa,Nomina,Nomina
bertambak,Verba,Verba
menggeram,Verba,Verba
melepak,Adjektiva,Adjektiva
meruntuh,Verba,Verba;Arkais
berurai,Verba,Verba
bernafsi-nafsi,Verba,Verba
anasir,Nomina,Nomina
mengundak,Verba,Verba
bimbang,Nomina,Nomina
bingung,Adjektiva,Adjektiva
curiga,Nomina,Nomina;Klasik
inferior,Adjektiva,Adjektiva
permisi,Nomina,Nomina
murung,Adjektiva,Adjektiva
mekar,Verba,Verba
mengangkat,Verba,Verba
bergerak,Verba,Verba
lindap,Adjektiva,Adjektiva;Minangkabau
hawar,Nomina,Nomina
femme savante,Ungkapan,Ungkapan;Prancis
sutan,Nomina,Nomina;Minangkabau
suap,Nomina,Nomina;kiasan
yahudi,Nomina,Nomina
penidur,Nomina,Nomina;Cakapan
narkose,Nomina,Nomina
penindas,Nomina,Nomina
cindaku,Nomina,Nomina;Minangkabau
pelalai,Nomina,Nomina
paul,Adjektiva,Adjektiva;Arkais;Sunda
sanjungan,Nomina,Nomina
perepet,Nomina,Nomina
pakar,Nomina,Nomina
rajul,Nomina,Nomina
sastrawan,Nomina,Nomina
wredatama,Nomina,Nomina
pengamal,Nomina,Nomina
petatar,Nomina,Nomina
kekasih,Nomina,Nomina
panggilan,Nomina,Nomina
rangkai hati,Minangkabau,Minangkabau
pelunas,Nomina,Nomina
pembilang,Nomina,Nomina;Matematika
pemeriksa,Nomina,Nomina
pengampu,Nomina,Nomina
pemrakarsa,Nomina,Nomina
penatar,Nomina,Nomina
pendamping,Nomina,Nomina
pengagum,Nomina,Nomina
pengampelas,Adjektiva,Adjektiva
penyeret,Nomina,Nomina
pewarta,Nomina,Nomina
penyedih,Nomina,Nomina
pemalu,Nomina,Nomina
pemenung,Nomina,Nomina
pemudah,Nomina,Nomina
pesolek,Nomina,Nomina
pemalas,Nomina,Nomina
kurcaci,Nomina,Nomina;Arkais
perengus,Adjektiva,Adjektiva;Jawa
perokok,Nomina,Nomina
superstar,Nomina,Nomina
penggempur,Nomina,Nomina
bawahan,Nomina,Nomina
netralis,Nomina,Nomina
arboreal,Adjektiva,Adjektiva
pihak,Nomina,Nomina
mudah-mudahan,Adverbia,Adverbia
menyapih,Verba,Verba
sedianya,Adverbia,Adverbia
bertekun,Verba,Verba
suf,Nomina,Nomina
seragam,Nomina,Nomina
taruhan,Nomina,Nomina
tepercaya,Adjektiva,Adjektiva
pintu,Nomina,Nomina
mukminin,Nomina,Nomina
pengakap,Verba,Verba
pro domo,Ungkapan,Ungkapan;Latin
kisaran,Nomina,Nomina
politik,Nomina,Nomina
sarkasme,Nomina,Nomina
regi,Nomina,Nomina
ilustrasi,Nomina,Nomina;Grafika
luti,Adjektiva,Adjektiva
anemia,Nomina,Nomina;Kedokteran dan Fisiologi
heriditer,Nomina,Nomina
pewat,Nomina,Nomina
kepatutan,Nomina,Nomina
kolaborasi,Nomina,Nomina
desersi,Nomina,Nomina
loki,Nomina,Nomina;Cina
turut,Verba,Verba
berpencar,Verba,Verba
keteduhan,Nomina,Nomina
selam,Nomina,Nomina;Cakapan
spekulasi,Nomina,Nomina
edukasi,Nomina,Nomina
emigrasi,Nomina,Nomina
maulid,Nomina,Nomina
pancawarsa,Nomina,Nomina
ingat-ingat,Verba,Verba
sodoran,Nomina,Nomina
puji,Nomina,Nomina
segah,Verba,Verba;Sunda
situ,Pronomina,Pronomina;Cakapan
berjelabir,Verba,Verba;Biologi
mengipas,Verba,Verba;Kedokteran dan Fisiologi
pucang,Nomina,Nomina;Jawa
depersonalisasi,Nomina,Nomina
eksudasi,Nomina,Nomina;Kimia
peresih,Adjektiva,Adjektiva;Arkais
mulus,Adjektiva,Adjektiva
cinta monyet,kiasan,kiasan
ngilu,Adjektiva,Adjektiva
tertiarap,Verba,Verba
mahligai,Nomina,Nomina
biah,Nomina,Nomina;Arkais
belekan,Verba,Verba;Cakapan
mencuru,Verba,Verba;Minangkabau
berbimbingan,Verba,Verba;kiasan
führer,Ungkapan,Ungkapan;Jerman
tajam,Adjektiva,Adjektiva
wisudawan,Nomina,Nomina
wisudawati,Nomina,Nomina
dukat,Nomina,Nomina;Klasik
kacak,Adjektiva,Adjektiva
macam,Nomina,Nomina
sejaras,Nomina,Nomina
pis,Verba,Verba;kependekan
akan,Partikel,Partikel
tinggal,Verba,Verba
menajuk,Verba,Verba
mendusin,Verba,Verba;Melayu Jakarta
prabu,Nomina,Nomina;Klasik
optika,Nomina,Nomina
beramai-ramai,Verba,Verba
virtual,Adjektiva,Adjektiva
ijmal,Nomina,Nomina
bersalai,Verba,Verba
berjarum,Verba,Verba
bertanak,Verba,Verba
berkemudi,Verba,Verba
beradu,Verba,Verba;Hormat
berundi,Verba,Verba
berkebun,Verba,Verba
berladang,Verba,Verba
bergaruk-garuk,Verba,Verba
berkipas,Verba,Verba
bertugas,Verba,Verba
terayap-rayap,Verba,Verba
hakaik,Nomina,Nomina;Arab
bahan,Nomina,Nomina
padi-padian,Nomina,Nomina
kekanseliran,Nomina,Nomina
dunia,Nomina,Nomina
semula,Nomina,Nomina
mengenang,Verba,Verba
celaka,Adjektiva,Adjektiva;Kasar
rahimakumullah,Partikel,Partikel
rahimakallah,Partikel,Partikel
chun jie kuai le,Ungkapan,Ungkapan;Cina
memantang,Verba,Verba
ginjal,Nomina,Nomina
sice,Nomina,Nomina;Cakapan
mentereng,Adjektiva,Adjektiva
sekuriti,Nomina,Nomina
takhayul,Nomina,Nomina
menyekang mata,kiasan,kiasan
pewatas,Nomina,Nomina
suplemen,Nomina,Nomina
usungan,Nomina,Nomina
kewajiban,Nomina,Nomina;Hukum
pelejang,Nomina,Nomina
penginfeksi,Nomina,Nomina
penular,Nomina,Nomina
dahina,Nomina,Nomina;Klasik
serpih,Adjektiva,Adjektiva
introver,Nomina,Nomina;Psikologi
kenyang,Adjektiva,Adjektiva
cair,Adjektiva,Adjektiva;kiasan
tervaksinasi,Verba,Verba
berumur,Verba,Verba
tervaksin,Verba,Verba
tercipta,Verba,Verba
tercium,Verba,Verba
tergigit,Verba,Verba
bergosok,Verba,Verba
terhitung,Verba,Verba
terurai,Verba,Verba
terlentuk,Verba,Verba
termaafkan,Verba,Verba
terpanggil,Verba,Verba
terpilih,Verba,Verba
kepintasan,Nomina,Nomina
tersedia,Verba,Verba
bercacar,Verba,Verba
tertangkap,Verba,Verba
tertikam,Verba,Verba
tertindih,Verba,Verba
tertumpang,Verba,Verba
terukir,Verba,Verba
terulang,Verba,Verba
terulur,Adjektiva,Adjektiva
berlaki,Verba,Verba
terkotak,Verba,Verba;Cakapan
berkubur,Verba,Verba
jenat,Verba,Verba
lepe,Adjektiva,Adjektiva;Minangkabau
uzur,Verba,Verba
kelepasan,Nomina,Nomina
terpikir,Verba,Verba
tertidur,Verba,Verba
ubanan,Nomina,Nomina;Melayu Jakarta
beruban,Verba,Verba;kiasan
bersutan-sutan,Verba,Verba
lisensi,Nomina,Nomina
rekes,Nomina,Nomina
petisi,Nomina,Nomina
anteken,Nomina,Nomina;Cakapan
tarasul,Nomina,Nomina
canda,Nomina,Nomina;Klasik
perlente,Adjektiva,Adjektiva
terpampang,Verba,Verba
koloni,Nomina,Nomina;Politik dan Pemerintahan
kuripan,Nomina,Nomina
yasan,Nomina,Nomina
notabene,Nomina,Nomina
manggar,Nomina,Nomina
taruh kata,Cakapan,Cakapan
mengerti,Verba,Verba
terendap,Verba,Verba
tergembleng,Verba,Verba
terikat,Verba,Verba
terkuras,Verba,Verba
berlengkapkan,Verba,Verba
tertiup,Verba,Verba
ketinggian,Nomina,Nomina
asli,Adjektiva,Adjektiva
lio,Nomina,Nomina
jantan,Nomina,Nomina
oktal,Adjektiva,Adjektiva
ganda,Adjektiva,Adjektiva
konotatif,Adjektiva,Adjektiva;Linguistik
buruk,Adjektiva,Adjektiva
gamosepal,Adjektiva,Adjektiva;Biologi
geloyor,Verba,Verba;Cakapan
instrumental,Adjektiva,Adjektiva;Linguistik
bionik,Adjektiva,Adjektiva
pecicilan,Adjektiva,Adjektiva;Cakapan
membusukkan,Verba,Verba
insuler,Adjektiva,Adjektiva
menahun,Verba,Verba
parental,Adjektiva,Adjektiva
baper,Adjektiva,Adjektiva;Cakapan;akronim
menjelepok,Verba,Verba
campung,Verba,Verba;Minangkabau
sayang,Adjektiva,Adjektiva
kembera,Adjektiva,Adjektiva
telentang,Adverbia,Adverbia
terpereh-pereh,Adjektiva,Adjektiva
sinkron,Adjektiva,Adjektiva
harfiah,Adjektiva,Adjektiva
rugi,Adjektiva,Adjektiva
meluap,Verba,Verba
jatuh,Verba,Verba
melintang,Verba,Verba;kiasan
alfabetis,Adjektiva,Adjektiva
tertegun,Verba,Verba
terkantuk,Verba,Verba
berufuk,Verba,Verba
terbada-bada,Verba,Verba;Minangkabau
berkebetulan,Verba,Verba
kepulasan,Nomina,Nomina
laras,Nomina,Nomina
menakdirkan,Verba,Verba
tebusan,Nomina,Nomina
pelambuk,Nomina,Nomina
taruh,Verba,Verba
pelepas,Nomina,Nomina
lawi,Nomina,Nomina
sundak,Verba,Verba;Minangkabau
mutu,Adjektiva,Adjektiva
mini,Adjektiva,Adjektiva
midi,Nomina,Nomina
tabik,Nomina,Nomina;Minangkabau
segala,Numeralia,Numeralia
baik,Partikel,Partikel
anu,Nomina,Nomina
sunatan,Nomina,Nomina
regresi,Nomina,Nomina;Psikologi
peternakan,Nomina,Nomina
dahulu,Adverbia,Adverbia
walakin,Partikel,Partikel;Klasik
gading,Nomina,Nomina
halal,Nomina,Nomina;Arkais
tahunan,Nomina,Nomina
pelituran,Nomina,Nomina
tidak-tidak,Adverbia,Adverbia
sehat,Adjektiva,Adjektiva
sialan,Nomina,Nomina;Kasar
terkemudian,Adjektiva,Adjektiva
sedia,Verba,Verba
mukadas,Nomina,Nomina
kilocycle,Ungkapan,Ungkapan;Inggris
petabita,Nomina,Nomina
selapan,Numeralia,Numeralia;Sunda
ruma,Nomina,Nomina;Bima
abah,Nomina,Nomina
perintah,Nomina,Nomina
komando,Nomina,Nomina;Kemiliteran
abe,Nomina,Nomina;Madura
amerta,Adjektiva,Adjektiva;Klasik
samad,Adjektiva,Adjektiva
infinit,Adjektiva,Adjektiva;Matematika
pagon,Adjektiva,Adjektiva
ancai,Adjektiva,Adjektiva;Minangkabau
adaksial,Adjektiva,Adjektiva;Biologi
kakang,Nomina,Nomina
bung,Nomina,Nomina
bang,Nomina,Nomina
abnon,Nomina,Nomina;akronim
abar,Nomina,Nomina
abece,Nomina,Nomina;kiasan
suruh-suruhan,Nomina,Nomina
panakawan,Nomina,Nomina;Jawa
rastra sewakottama,Ungkapan,Ungkapan;Sanskerta
ayam tambatan,kiasan,kiasan
hamba,Nomina,Nomina;Klasik
sahaya,Pronomina,Pronomina;Klasik
ulun,Nomina,Nomina
gundal,Nomina,Nomina
alfabet,Nomina,Nomina
alifbata,Nomina,Nomina
hanacaraka,Nomina,Nomina
dewanagari,Nomina,Nomina
acuan kertas,Arkeologi,Arkeologi
sindrom klinefelter,Psikologi,Psikologi
sindrom rapuh-x,Psikologi,Psikologi
amal,Nomina,Nomina
bajabu,Nomina,Nomina;Kulisusu
terminasi,Nomina,Nomina
aborsi medis,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
abortus inkomplet,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
abortus komplet,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
abortus terancam,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
abortus insipiens,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
abortus habitualis,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
amd,Nomina,Nomina;singkatan
abses kutaneus,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
abses selulitis orbita,Kedokteran dan Fisiologi,Kedokteran dan Fisiologi
zat terserap,Kimia,Kimia
zat penyerap,Kimia,Kimia
absorpsi aktif,Biologi,Biologi
absorpsi pasif,Biologi,Biologi
transendental,Adjektiva,Adjektiva
mujarad,Adjektiva,Adjektiva;Arab
metrik,Nomina,Nomina
jicing,Nomina,Nomina;Cina
agem,Nomina,Nomina;Jawa
abu merang,Tata Boga,Tata Boga
adang,Nomina,Nomina
ladu,Nomina,Nomina
timbora,Nomina,Nomina;Batak
calacah,Nomina,Nomina;Sunda
abam,Nomina,Nomina;Melayu Medan
abotoi,Nomina,Nomina
amporang,Nomina,Nomina;Minahasa
slebor,Adjektiva,Adjektiva;Cakapan
acakadut,Adjektiva,Adjektiva;Cakapan
acak,Adjektiva,Adjektiva
kecar,Nomina,Nomina;Arkais
gari,Nomina,Nomina
acar matang,Tata Boga,Tata Boga
acar kuning,Tata Boga,Tata Boga
rencana,Nomina,Nomina
hajatan,Nomina,Nomina
programa,Nomina,Nomina
agenda,Nomina,Nomina
nyongkolan,Nomina,Nomina;Sasak
yalilan,Nomina,Nomina;Jawa
gong,Nomina,Nomina;Musik
botram,Nomina,Nomina;Sunda
meput lesung,Nomina,Nomina;Lampung
ngerires,Nomina,Nomina;Batak
bejege,Nomina,Nomina;Gayo
miyah damar,Nomina,Nomina;Lampung
batanda,Nomina,Nomina;Wolio
candawara,Nomina,Nomina;Melayu Malaysia
tem,Nomina,Nomina;Cakapan
rujuk,Verba,Verba
cetakan,Nomina,Nomina
cetak,Nomina,Nomina
pembikangan,Nomina,Nomina
bentuk,Nomina,Nomina
matris,Nomina,Nomina
kelebut,Nomina,Nomina
master,Nomina,Nomina
lembaga,Nomina,Nomina;Botani
tuangan,Nomina,Nomina
berenggan-enggan,Adjektiva,Adjektiva
apatis,Adjektiva,Adjektiva
cerap,Verba,Verba;Gayo
bena,Adjektiva,Adjektiva;Klasik
adlib,Adjektiva,Adjektiva;Latin
bersusu,Verba,Verba
mengelilingi,Verba,Verba
berada,Verba,Verba
bertelepon,Verba,Verba
bersedia,Verba,Verba
berbekas,Verba,Verba
senjang,Adjektiva,Adjektiva
menumpang,Verba,Verba
bercarang,Verba,Verba
berabu,Verba,Verba
berakar,Verba,Verba;kiasan
bersudah,Verba,Verba
beralamat,Verba,Verba
berampas,Verba,Verba
bersempuras,Adjektiva,Adjektiva
berangin,Verba,Verba;kiasan
beranjung,Verba,Verba
berjarak,Verba,Verba
berantara,Verba,Verba
berarah,Verba,Verba
berkontak,Verba,Verba
intermolekuler,Adjektiva,Adjektiva;Kimia
in vivo,Adverbia,Adverbia;Kedokteran dan Fisiologi
berawal,Verba,Verba
bertanding,Verba,Verba
berbanding,Verba,Verba
berbanir,Verba,Verba
berbintang-bintang,Verba,Verba;kiasan
berbatas,Verba,Verba
terhingga,Verba,Verba
bau,Nomina,Nomina
berbayang,Verba,Verba
berbeda,Verba,Verba
berbelang-belang,Verba,Verba
berbelatung,Verba,Verba
berbelek,Verba,Verba
berbenjol,Verba,Verba
berhadir,Verba,Verba;Klasik
berbiji,Verba,Verba
berbintang,Verba,Verba
berbintit,Verba,Verba
berbisul,Verba,Verba
monggol,Verba,Verba
berbuah,Verba,Verba
berbulan,Verba,Verba
berbumbu,Verba,Verba
berbunga,Verba,Verba
berbusa,Verba,Verba
berbutir,Verba,Verba
bercabai,Verba,Verba
cedera,Adjektiva,Adjektiva
bercadik,Verba,Verba
bercambang,Verba,Verba
mencandu,Verba,Verba
bercangkang,Verba,Verba
renggang,Verba,Verba
bercela,Verba,Verba
becermin,Verba,Verba;kiasan
bercetak,Verba,Verba
berciri,Verba,Verba
berconteng-conteng,Verba,Verba
berdaki,Verba,Verba
eksis,Adjektiva,Adjektiva;Cakapan
berdanau,Verba,Verba
berdasar,Verba,Verba;kiasan
berdedak,Adjektiva,Adjektiva
duduk,Nomina,Nomina
membawahi,Verba,Verba
tersimpul dalam hati,kiasan,kiasan
muat,Verba,Verba
berduri,Verba,Verba
efektif,Adjektiva,Adjektiva
berekor,Verba,Verba;kiasan
berembun,Verba,Verba
beres,Adjektiva,Adjektiva
bergading,Verba,Verba
neurotik,Adjektiva,Adjektiva;Kedokteran dan Fisiologi
berganjal,Verba,Verba
bersurih,Verba,Verba
bergaris,Verba,Verba
bergema,Verba,Verba
berimbas,Verba,Verba
bergetah,Verba,Verba
bergigi,Verba,Verba
bergincu,Verba,Verba
bergula,Verba,Verba
mental,Verba,Verba
berguntur,Verba,Verba
berhadiah,Verba,Verba
berpuaka,Adjektiva,Adjektiva;kiasan
berhantu,Verba,Verba
berkarib,Verba,Verba
elektronis,Adjektiva,Adjektiva
bertulis,Verba,Verba
berikan,Verba,Verba
berbobot,Verba,Verba
berisi,Verba,Verba;kiasan
berjambul,Verba,Verba;Biologi
berjasad,Verba,Verba
berjawab,Verba,Verba
berjeda,Verba,Verba
berjendul,Verba,Verba
berjerawat,Verba,Verba
bejermang,Verba,Verba
berjiwa,Verba,Verba
berjunjung,Verba,Verba
berkabut,Adjektiva,Adjektiva
terkait,Verba,Verba
berkaki,Verba,Verba
pernah,Adverbia,Adverbia
berkandul,Verba,Verba
berkapas,Verba,Verba
berkarah,Verba,Verba
berkarang,Nomina,Nomina;kiasan
berkarat,Adjektiva,Adjektiva;kiasan
berkayu,Verba,Verba
berkecuali,Verba,Verba
menaksir,Verba,Verba
bercacat,Verba,Verba
berkekurangan,Verba,Verba
putus,Verba,Verba
berkerakal,Verba,Verba
berkerak,Verba,Verba;kiasan
berkeramik,Verba,Verba
berkerut,Verba,Verba
berkesungguhan,Verba,Verba
berketua,Verba,Verba
berkincir,Verba,Verba
berpuyan,Verba,Verba
